Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Kinder, Gentler, Carpet Bombing","(d) AWOL > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107694665/kinder-gentler-carpet-bombing,2.5,-1,Sport,5.9,1,60,47.49689,-121.75489
Sideswipe,"(d) AWOL > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106475859/sideswipe,2.2,-1,Sport,5.10a,1,50,47.49689,-121.75489
Goddess,"(d) AWOL > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793729/goddess,3.5,-1,Sport,5.10c,1,50,47.49689,-121.75489
"Little Hittlers","(d) AWOL > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793733/little-hittlers,2.4,-1,Sport,5.11b,1,80,47.49689,-121.75489
"Situation Room","(d) AWOL > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109005966/situation-room,2.7,-1,Sport,5.11b,1,70,47.49689,-121.75489
"Cranium Teaser","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106502599/cranium-teaser,1.3,-1,Sport,5.6,1,70,47.49638,-121.75503
"Human Foot","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105827424/human-foot,2.2,-1,Sport,5.8,1,100,47.49638,-121.75503
"Stumblesome Fridge","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106502569/stumblesome-fridge,2.0,-1,Sport,5.8,1,60,47.49638,-121.75503
"Winter's Coat of Armor","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106502575/winters-coat-of-armor,2.1,-1,Sport,5.9,1,90,47.49638,-121.75503
BLM-2,"(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107541185/blm-2,2.5,-1,Sport,5.9,1,90,47.49638,-121.75503
"The Big Easy","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105827418/the-big-easy,2.7,-1,Sport,5.9+,1,90,47.49638,-121.75503
"Stepping Stones","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106463637/stepping-stones,2.7,-1,Sport,5.10c,1,90,47.49638,-121.75503
BLM-1,"(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110715326/blm-1,2.7,-1,Sport,5.10c/d,1,90,47.49638,-121.75503
"Three-Legged Dog","(b) Repo I > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699177/three-legged-dog,0.7,-1,TR,5.5,1,30,47.49655,-121.75498
"First Things Left","(b) Repo I > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113508934/first-things-left,2.0,-1,"Trad, TR",5.6,1,30,47.49655,-121.75498
"First Things First","(b) Repo I > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107187454/first-things-first,2.0,-1,"Trad, TR",5.6,1,40,47.49655,-121.75498
"Next Time Around","(b) Repo I > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699170/next-time-around,1.5,-1,TR,5.7,1,30,47.49655,-121.75498
"On Second Thought","(b) Repo I > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110635328/on-second-thought,2.3,-1,"Trad, TR",5.9,1,40,47.49655,-121.75498
"Fixer Upper","(c) Repo II > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111195216/fixer-upper,1.9,-1,"Trad, TR",5.8-,1,50,47.49664,-121.75487
"Repo Man","(c) Repo II > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106427294/repo-man,2.3,-1,"Trad, TR",5.9,1,60,47.49664,-121.75487
Trynoceros,"(c) Repo II > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699196/trynoceros,2.0,-1,Sport,5.11c,1,50,47.49664,-121.75487
"Little Big Man","(c) Repo II > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115190280/little-big-man,2.5,-1,"Trad, TR","5.12a PG13",1,60,47.49664,-121.75487
Whynoceros,"(c) Repo II > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699187/whynoceros,2.0,-1,Sport,5.12c,1,45,47.49664,-121.75487
"Sweet and Sticky","(a) Midland > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105827410/sweet-and-sticky,2.6,-1,Sport,5.9,1,80,47.49715,-121.75478
"The Nameless Tower","(a) Midland > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107759719/the-nameless-tower,3.0,-1,Sport,5.10d,1,80,47.49715,-121.75478
"Violent Phlegms","(a) Midland > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106228906/violent-phlegms,2.8,-1,Sport,5.11b,1,70,47.49715,-121.75478
"Lay of the Land","(a) Midland > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105827408/lay-of-the-land,3.7,-1,Sport,5.12a,1,80,47.49715,-121.75478
"Aeoliatrous Ve Ensomb","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111768491/aeoliatrous-ve-ensomb,1.5,-1,Sport,5.10a,1,50,47.49746,-121.75471
"Street Cleaner","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107694619/street-cleaner,2.3,-1,Sport,5.10a,1,55,47.49746,-121.75471
"Tablature of Emotion","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699296/tablature-of-emotion,1.5,-1,Sport,5.10b,1,50,47.49746,-121.75471
"Incarnated Solvent Abuse (p2 of Human Glue)","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699343/incarnated-solvent-abuse-p2-of-human-glue,1.0,-1,Sport,5.10b,1,110,47.49746,-121.75471
Godflesh,"(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106181543/godflesh,3.0,-1,Sport,5.11-,1,75,47.49746,-121.75471
"Gold Rush","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699355/gold-rush,2.5,-1,Sport,5.11b,1,80,47.49746,-121.75471
"xxRIP - Monkey Madness","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699401/xxrip-monkey-madness,2.0,-1,Sport,5.11b,1,60,47.49746,-121.75471
"Resume to Entomb","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699282/resume-to-entomb,2.0,-1,Sport,5.11c,1,80,47.49746,-121.75471
"Human Glue","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106181539/human-glue,1.3,-1,Sport,5.11c/d,1,70,47.49746,-121.75471
"State of Perplexity","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111768531/state-of-perplexity,2.8,-1,Sport,5.12a,1,100,47.49746,-121.75471
"Yo Baby","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699380/yo-baby,2.7,-1,Sport,5.12a,1,90,47.49746,-121.75471
"Golden Toddler Circumnavigation","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124228507/golden-toddler-circumnavigation,3.0,-1,Sport,5.12a,1,100,47.49746,-121.75471
"Shih Tzu Jiu-Jitsu 11: Puppy Madness","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124228629/shih-tzu-jiu-jitsu-11-puppy-madness,3.1,-1,Sport,5.12a,1,100,47.49746,-121.75471
"Cleaning the Porta John","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124371092/cleaning-the-porta-john,3.0,-1,Sport,5.12a/b,1,80,47.49746,-121.75471
"Chode Castration","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124570352/chode-castration,2.0,-1,Sport,5.12a/b,1,70,47.49746,-121.75471
Digitalis,"(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111768435/digitalis,3.0,-1,Sport,5.12a/b,1,80,47.49746,-121.75471
"Double Take Twoo","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124371138/double-take-twoo,3.0,-1,Sport,5.12b,1,80,47.49746,-121.75471
"Golden Toddler Direct","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124228517/golden-toddler-direct,3.0,-1,Sport,5.12b/c,1,,47.49746,-121.75471
"xxRIP - Mo Clips","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699391/xxrip-mo-clips,2.0,-1,Sport,5.12c,1,70,47.49746,-121.75471
"Mo-Mo-Mo: Mo Clips, Mo Bolts, Mo Honies, Mo Babies, Mo Money, Mo Problems","(b) The Woods > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124228598/mo-mo-mo-mo-clips-mo-bolts-mo-honies-mo-babies-mo-money-mo-problems,3.5,-1,Sport,5.12c/d,1,100,47.49746,-121.75471
"Only in it for the Money","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/116741250/only-in-it-for-the-money,2.9,-1,"Trad, TR",5.10-,1,40,47.49769,-121.75463
Garmonboiza,"(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699526/garmonboiza,0.7,-1,Sport,5.10+,1,25,47.49769,-121.75463
"Have You Told Your Husband Yet??","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699515/have-you-told-your-husband-yet,2.1,-1,Sport,5.10d,1,25,47.49769,-121.75463
"Have You Licked My Puzzle Yet?","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699540/have-you-licked-my-puzzle-yet,1.0,-1,Sport,5.11a,1,30,47.49769,-121.75463
"Money for Nothing","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117699451/money-for-nothing,1.0,-1,TR,5.11+,1,30,47.49769,-121.75463
"The Bomb","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124567159/the-bomb,0.0,-1,Sport,5.12a/b,1,15,47.49769,-121.75463
Closed,"(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124567172/closed,0.0,-1,Sport,5.13a,1,,47.49769,-121.75463
Closed,"(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123847328/closed,0.0,-1,Sport,5.13c,1,,47.49769,-121.75463
"Open Project","(d) The Woods Alcove > The Woods Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124567213/open-project,2.0,-1,Sport,5.13c,1,35,47.49769,-121.75463
"Reptiles and Amphetamines","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793829/reptiles-and-amphetamines,2.9,-1,Sport,5.9,1,50,47.49795,-121.7549
"Devil's Advocate","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106386272/devils-advocate,1.9,-1,Sport,5.9,1,40,47.49795,-121.7549
"Opening Act","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107239645/opening-act,2.2,-1,Sport,5.9,1,45,47.49795,-121.7549
Universe,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107819027/universe,2.4,-1,Sport,5.10a,1,55,47.49795,-121.7549
BLM-8,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107822953/blm-8,1.3,-1,Sport,5.10a,1,80,47.49795,-121.7549
"Jug or Not","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106246546/jug-or-not,2.0,-1,Sport,5.10b,1,50,47.49795,-121.7549
BLM-7,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107822931/blm-7,2.3,-1,Sport,5.10b,1,90,47.49795,-121.7549
"Son of Jesus","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106386267/son-of-jesus,3.0,-1,Sport,5.10c,1,70,47.49795,-121.7549
"Girls in the Gym","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106386277/girls-in-the-gym,2.8,-1,Sport,5.10c,1,80,47.49795,-121.7549
"[L] Slaborigine","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106926492/l-slaborigine,2.2,-1,Sport,5.10c,1,70,47.49795,-121.7549
Insinuation,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107819034/insinuation,2.6,-1,Sport,5.10c,1,65,47.49795,-121.7549
BLM-6,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105840317/blm-6,3.4,-1,Sport,5.10d,1,80,47.49795,-121.7549
Disincarnate,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106926556/disincarnate,2.4,-1,Sport,5.11a,1,70,47.49795,-121.7549
Aborigine,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793712/aborigine,3.4,-1,Sport,5.11b,1,60,47.49795,-121.7549
Megatherion,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107239666/megatherion,3.1,-1,Sport,5.11b,1,85,47.49795,-121.7549
BLM-3,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109088075/blm-3,1.8,-1,Sport,5.11b,1,55,47.49795,-121.7549
"Psycho Wussy","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112070225/psycho-wussy,3.0,-1,Sport,5.11b,1,60,47.49795,-121.7549
"[L] Hangin' in the Gym","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122844206/l-hangin-in-the-gym,1.7,-1,Sport,5.11b,1,70,47.49795,-121.7549
"[E] Vudu Guru","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107261452/e-vudu-guru,3.1,-1,Sport,5.11,1,145,47.49795,-121.7549
"Dreaming of a Life of Ease","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793718/dreaming-of-a-life-of-ease,2.4,-1,Sport,5.11c,1,100,47.49795,-121.7549
"Bad Guy","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105820566/bad-guy,3.1,-1,Sport,5.11c,1,60,47.49795,-121.7549
Spent,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118123215/spent,2.0,-1,Sport,5.11c,1,80,47.49795,-121.7549
"False Idol","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107144708/false-idol,1.4,-1,Sport,5.11d,1,40,47.49795,-121.7549
"Rainy Day Women","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105789888/rainy-day-women,3.6,-1,Sport,5.12a,1,100,47.49795,-121.7549
"[E] End of the World","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105812383/e-end-of-the-world,2.3,-1,Sport,5.12a,1,115,47.49795,-121.7549
"Jealous God","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107228717/jealous-god,2.3,-1,Sport,5.12a,1,50,47.49795,-121.7549
"Bust the Move","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107283446/bust-the-move,2.8,-1,Sport,5.12a,1,85,47.49795,-121.7549
"[E] Totally Spent","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118123227/e-totally-spent,2.0,-1,Sport,5.12a,1,145,47.49795,-121.7549
"Dairy Freeze","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790187/dairy-freeze,2.8,-1,Sport,5.12b,1,70,47.49795,-121.7549
"[E] Deluge","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805720/e-deluge,2.1,-1,Sport,5.12b,1,115,47.49795,-121.7549
Viagro,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105812387/viagro,2.8,-1,Sport,5.12b,1,85,47.49795,-121.7549
"Hang It Out To Dry","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105820575/hang-it-out-to-dry,3.0,-1,Sport,5.12b,1,100,47.49795,-121.7549
"Oedipal Complex","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107228708/oedipal-complex,2.5,-1,Sport,5.12b,1,50,47.49795,-121.7549
"Sweet Tooth","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107239672/sweet-tooth,2.6,-1,Sport,5.12b,1,90,47.49795,-121.7549
"[E] Bust the Rhythm","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805804/e-bust-the-rhythm,3.0,-1,Sport,5.12b/c,1,110,47.49795,-121.7549
"[E] Technorigine","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105793715/e-technorigine,3.7,-1,Sport,5.12c,1,90,47.49795,-121.7549
"[E] Hydrophobia","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805796/e-hydrophobia,3.6,-1,Sport,5.12c,1,120,47.49795,-121.7549
"Slug Lover","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105820452/slug-lover,2.1,-1,Sport,5.12c,1,85,47.49795,-121.7549
"[E] Extendorigine","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106749230/e-extendorigine,2.5,-1,Sport,5.12c,1,,47.49795,-121.7549
"[E] Graven Image","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118775075/e-graven-image,2.0,-1,Sport,5.12c,1,70,47.49795,-121.7549
"[L] Viagrophobia","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120730005/l-viagrophobia,2.8,-1,Sport,5.12c,1,115,47.49795,-121.7549
Propaganda,"World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805809/propaganda,3.8,-1,Sport,5.12+,1,90,47.49795,-121.7549
"[E] Psychosomatic","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105792640/e-psychosomatic,3.6,-1,Sport,5.12d,1,100,47.49795,-121.7549
"[E] Dread Lock","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120730131/e-dread-lock,3.0,-1,Sport,5.12d,1,135,47.49795,-121.7549
"[L] Vanilla Ice","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114507938/l-vanilla-ice,3.8,-1,Sport,5.13a,1,120,47.49795,-121.7549
"Hadley's Roof","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118958743/hadleys-roof,3.3,-1,Sport,5.13a,1,90,47.49795,-121.7549
"[E] The Crack","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118972092/e-the-crack,2.0,-1,Sport,5.13a,1,120,47.49795,-121.7549
"[E] PC-7 (Judgement Day Direct)","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118972097/e-pc-7-judgement-day-direct,2.9,-1,Sport,5.13a,1,120,47.49795,-121.7549
"[E] Californicator","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105813190/e-californicator,3.7,-1,Sport,5.13a,1,80,47.49795,-121.7549
"Gerbil Killer","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106246438/gerbil-killer,2.8,-1,Sport,5.13a,1,100,47.49795,-121.7549
"Black Is All We Feel","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106827570/black-is-all-we-feel,2.9,-1,Sport,5.13a,1,80,47.49795,-121.7549
"[E] Oval Orifice","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106209312/e-oval-orifice,3.2,-1,Sport,5.13-,1,120,47.49795,-121.7549
"[E] Californication","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109589265/e-californication,3.8,-1,Sport,5.13a/b,1,100,47.49795,-121.7549
"Gerbil Lives","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123703676/gerbil-lives,4.0,-1,Sport,5.13a/b,1,90,47.49795,-121.7549
"[E] Lizard Prince","World Wall > World Wall Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120730100/e-lizard-prince,3.0,-1,Sport,5.13b,1,100,47.49795,-121.7549
